课程名字,作业,说明,生效日期,截止日期,状态
数据结构,期末考试通知,按照教学计划，本课程将于6.1进行随堂期末考试。已注册返校的同学必须参加。,2021-05-10 20:54,2021-05-31 23:59,0
数据结构,第十三周作业,,2021-05-20 12:31,2021-05-27 23:59,0
数据结构,第三次oj说明文档,,2021-05-05 13:31,2021-05-23 23:59,0
数据结构,第十二周作业,,2021-05-18 23:08,2021-05-22 23:59,0
博弈论,Assignment II on Games in Coalition Form,,2021-05-19 21:53,2021-05-26 23:59,0
数值分析,hw13,"第六章练习题15, 17, 16, 20, 24;  第7章练习题1",2021-05-19 13:55,2021-05-25 23:59,0
高性能计算导论,实验三：全源最短路,详见文档：https://lab.cs.tsinghua.edu.cn/hpc/doc/exp/3.apsp/,2021-04-27 15:03,2021-05-31 23:59,0
计算机图形学基础,PA4：Conditional GAN,,2021-05-18 07:56,2021-06-15 23:59,0
计算机图形学基础,PA3：参数曲线和曲面,,2021-04-13 08:52,2021-05-25 23:59,0
计算机系统结构,实验三（选题二）,实验三选题二的代码、说明文档和部分资料在压缩包lab3.zip中。,2021-05-17 23:08,2021-06-17 23:59,0
计算机系统结构,实验三选题一,本实验为创新性的模拟实验，具体要求请参考实验文档。,2021-05-17 08:00,2021-06-17 23:59,0
计算机系统结构,实验三选题,提交格式为：,2021-05-17 08:00,2021-05-23 23:59,0
